category,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
      Air transportation,26.315,18.26,18.2,16.071,16.032,13.617,14.345,14.358,14.37,12.669,13.646,12.835,12.975,14.201,14.828,15.639,14.597,13.69,14.887,17.028,17.316,17.028,17.19,17.395,17.375,17.117,16.878,16.865,16.867,18.03,18.772,20.087,21.395,22.498,20.875,20.781,20.873,20.923,20.95,21.395,23.027,24.791,26.636,27.276,28.402,30.749,33.486,36.316,38.487,40.006,42.929,58.076,68.526,66.952,67.974,70.883,69.59,62.09,65.422,70.539,74.932,77.337,75.762,76.742,81.619,77.48,78.648,74.979,79.497,80.647,80.746,84.567,77.893,70.058,71.725,71.441,75.988,81.144,82.005,90.389,84.186,90.213,97.371,101.967,102.106,104.716,101.623,99.323,100,101.823,105.279,95.888,95.803,117.254,123.551,125.439
      Water transportation,27.536,26.927,27.07,26.912,26.718,27.278,26.862,27.347,27.347,26.048,26.476,26.253,27.171,27.769,28.561,29.704,29.685,29.694,29.641,31.325,30.222,29.905,29.905,29.905,29.247,29.471,29.247,29.482,29.482,29.482,30.527,31.744,32.437,32.893,33.726,34.105,35.166,36.541,37.67,39.398,42.049,45.454,47.872,50.009,52.205,56.518,61.787,66.554,71.443,76.849,80.745,86.401,90.975,94.761,98.054,101.063,104.747,110.09,112.883,114.528,118.929,124.266,129.33,133.423,137.144,140.176,144.465,148.215,152.176,159.8,154.762,138.405,125.246,120.276,110.324,108.553,109.864,109.495,108.904,107.116,97.198,98.292,96.16,95.287,96.497,95.768,95.726,99.107,100,100.299,99.6,95.588,101.685,100.709,102.641,98.722
  Communication,38.975,38.96,38.738,38.677,38.656,38.447,38.439,38.166,38.027,37.82,37.705,37.896,38.452,40.65,42.272,43.799,44.606,44.919,46.355,48.843,50.805,54.236,55.739,58.014,59.979,59.495,59.112,59.934,61.119,62.931,64.587,65.761,66.036,66.108,67.374,67.754,67.006,65.809,66.802,67.955,69.007,69.776,74.245,78.479,80.372,84.816,87.54,92.688,93.796,95.593,95.935,97.506,107.682,118.936,125.723,133.901,138.836,143.207,140.488,140.708,141.239,141.196,144.263,144.724,145.472,148.18,148.938,149.552,150.582,149.269,145.836,141.134,138.926,139.094,137.719,134.753,132.772,131.743,128.81,129.86,130.75,129.536,127.529,126.217,124.219,118.538,112.311,107.226,100,97.733,93.993,91.444,89.344,87.287,85.926,84.829
    Telephone and related communication equipment,93.213,87.994,76.705,65.475,67.307,76.454,76.949,79.857,88.505,87.197,89.27,91.651,102.642,119.929,140.583,166.8,185.424,183.306,181.986,181.722,175.684,179.926,197.97,195.605,198.0,194.805,195.125,203.404,208.411,213.167,217.816,218.851,218.719,214.266,214.001,214.067,224.646,235.607,243.387,255.883,270.058,280.085,299.178,318.993,329.16,340.991,363.217,387.697,411.202,447.178,474.74,514.132,576.115,650.171,715.345,773.526,838.533,907.3,976.002,1044.75,1112.045,1202.235,1264.803,1334.339,1381.189,1431.084,1486.375,1570.569,1646.74,1598.845,1416.92,1279.844,1148.691,1002.905,836.319,722.852,633.227,529.577,449.518,396.357,350.272,314.455,297.5,256.436,216.899,168.824,141.32,115.485,100,92.736,79.351,67.952,57.308,49.639,43.404,39.02
    Postal and delivery services,2.973,2.854,2.694,2.645,2.708,2.819,2.903,2.856,2.988,2.893,2.859,2.919,3.104,3.309,3.568,3.812,3.908,4.071,4.537,4.839,4.975,5.09,5.417,5.755,5.915,6.13,6.255,6.388,6.532,6.722,7.026,7.267,7.335,7.403,8.496,8.771,8.84,8.911,9.152,10.379,10.689,10.766,12.585,13.361,13.549,15.662,16.134,20.359,20.682,22.384,23.624,23.698,27.782,31.107,31.185,31.273,33.984,34.535,34.646,37.931,39.207,39.381,44.656,45.353,45.55,45.734,49.921,50.097,50.25,50.585,52.262,52.745,55.117,58.147,61.199,62.632,63.618,67.431,69.819,74.346,75.523,80.21,85.334,88.871,93.397,96.885,97.051,96.514,100,104.437,108.744,111.154,117.176,128.053,135.781,143.088
      First-class postal service by U.S. Postal Service (USPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.843,8.112,8.189,8.263,9.496,9.805,9.881,9.957,10.226,11.61,11.954,12.032,14.109,14.99,15.185,17.606,18.103,22.985,23.308,25.235,26.621,26.652,31.293,35.061,35.102,35.144,38.272,38.822,38.841,42.698,44.092,44.092,50.589,51.215,51.215,51.215,56.505,56.505,56.505,56.505,58.197,58.201,60.452,63.974,67.299,67.299,67.295,70.899,72.668,75.112,78.851,81.066,84.15,87.074,92.542,96.47,96.787,97.525,100,102.099,107.88,112.613,117.096,120.86,126.228,132.852
      Other delivery services (by non-USPS facilities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.616,6.741,6.815,6.946,7.066,7.219,7.376,7.602,7.811,8.206,8.564,8.88,9.339,9.701,10.112,10.781,11.678,12.47,13.348,14.294,15.292,16.533,17.962,19.234,20.622,21.621,22.554,23.578,24.51,25.614,26.729,27.863,28.979,30.056,30.987,31.85,32.697,33.485,34.183,35.688,37.454,39.456,42.336,44.051,46.46,51.689,55.191,59.546,63.34,72.622,68.134,77.821,86.88,91.424,94.612,97.516,97.493,95.491,100,106.585,109.628,110.308,117.302,132.531,141.798,149.543
    Telecommunication services,46.82,47.156,47.332,47.419,47.19,46.523,46.249,45.994,45.373,45.372,45.311,45.396,45.628,48.14,49.69,51.143,51.995,51.993,52.796,55.497,57.877,62.285,63.587,65.952,68.262,67.195,66.454,67.289,68.589,70.628,72.28,73.421,73.672,73.665,73.687,73.788,72.742,71.141,72.081,72.085,73.036,73.888,77.515,81.879,83.973,87.52,90.348,93.561,94.625,95.689,95.362,96.972,106.214,117.019,124.397,133.457,137.371,141.791,138.373,136.728,136.506,136.085,137.185,137.271,137.938,140.81,140.252,140.498,141.17,139.434,136.141,131.68,129.15,129.53,128.553,126.353,125.194,125.848,127.944,129.861,131.558,130.397,127.851,127.921,126.971,121.593,114.876,109.943,100,97.325,92.421,90.463,88.342,85.409,82.872,80.764
    Internet access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.69,200.319,189.507,180.545,166.926,153.959,140.282,123.068,117.132,120.538,125.243,133.943,129.994,125.836,128.112,129.276,130.385,127.195,125.054,118.83,95.685,96.598,99.984,100.643,99.7,99.927,100.863,102.016,101.251,101.134,100,99.243,100.724,99.941,100.987,102.639,106.499,109.591
  Recreation,32.02,29.714,26.53,24.014,22.891,23.724,24.068,24.161,25.359,25.163,24.653,25.078,25.586,28.164,29.984,33.02,34.23,35.71,39.425,41.922,42.829,42.938,44.522,45.122,45.652,45.606,45.998,46.825,48.593,50.133,48.935,49.922,50.559,51.072,51.908,52.828,53.177,53.742,54.95,57.104,59.13,60.883,63.471,64.751,66.316,70.828,76.154,79.203,82.203,85.861,90.701,97.514,103.756,108.415,110.7,112.489,114.221,115.014,116.924,119.338,122.616,125.769,129.082,130.346,130.862,131.654,131.683,130.859,128.782,126.009,123.053,121.778,120.205,118.377,116.519,115.527,114.122,112.982,111.239,111.003,109.467,106.857,105.117,104.326,103.173,102.229,101.348,100.403,100,99.425,98.968,98.127,100.364,104.048,105.701,106.455
"    Video and audio equipment, computers, and related services",787.141,609.387,439.333,331.508,304.434,326.29,322.529,320.303,328.001,318.521,306.84,309.776,319.728,377.089,383.586,410.724,413.159,419.744,509.608,537.204,563.502,564.732,567.363,537.7,530.871,515.419,498.849,504.355,523.52,537.648,511.435,513.624,507.649,495.904,490.63,485.295,472.088,455.675,452.14,453.523,453.64,452.826,457.571,460.204,461.336,470.508,485.493,492.774,497.572,507.645,523.296,537.91,552.798,556.113,539.983,527.684,513.172,491.907,484.267,476.547,473.735,468.63,464.134,449.247,435.624,419.376,396.196,363.708,331.154,299.955,272.131,254.477,235.101,219.916,205.496,195.273,183.481,171.321,158.684,149.378,139.288,130.088,123.02,117.554,112.45,108.62,105.52,101.554,100,97.104,93.244,89.043,89.288,89.021,87.026,85.982
      Video and audio equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.548,1164.479,1142.045,1103.665,1085.275,1068.504,1032.536,987.886,973.016,969.771,968.126,968.89,974.087,976.733,972.914,988.538,1016.349,1026.022,1025.964,1036.445,1059.682,1077.743,1096.45,1092.517,1061.583,1016.603,957.627,910.416,880.811,846.778,825.165,803.839,785.166,768.763,752.193,730.633,705.827,676.563,648.828,618.22,578.417,542.758,511.308,478.007,445.084,413.767,381.256,343.518,299.013,267.791,230.745,199.238,178.7,158.014,143.593,132.015,121.416,109.255,100,89.151,82.456,76.445,76.478,73.208,70.511,69.291
      Information processing equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12589.382,12649.097,12641.782,12383.42,12369.678,12372.41,12988.187,13616.639,14067.916,14797.23,15615.014,16195.669,17295.017,18433.496,19021.888,19702.595,20979.829,22400.155,23733.981,25526.672,26829.164,25780.509,25753.162,23395.837,17836.024,16067.223,15133.344,11898.336,10905.513,10098.504,9463.418,8090.965,6864.666,5303.189,4149.991,3648.166,2927.947,2055.032,1412.269,985.679,724.619,593.062,456.694,366.545,303.171,270.993,239.096,212.06,195.285,180.227,167.45,155.562,142.59,132.719,123.207,116.512,111.846,104.046,100,96.904,90.346,82.663,81.493,80.283,75.676,73.519
      Services related to video and audio goods and computers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73,19.017,19.125,19.155,19.212,19.209,18.888,18.598,18.876,19.277,19.275,18.949,19.329,19.463,19.876,20.497,21.32,21.898,22.572,23.635,24.992,26.819,28.503,29.979,31.042,32.499,34.135,35.282,36.928,38.958,41.075,43.885,47.181,49.367,51.948,51.794,52.469,54.784,57.795,60.253,61.9,63.887,65.741,68.724,70.826,72.981,74.688,77.29,78.494,80.351,81.791,82.466,84.098,87.596,89.495,91.201,92.6,95.476,100,101.623,103.347,106.548,109.994,114.382,120.111,122.844
    Sports and recreational goods and related services,32.526,31.382,27.65,22.79,22.721,25.88,27.213,26.24,29.795,27.212,25.172,26.438,26.303,31.475,33.133,38.362,39.979,40.822,44.628,48.152,47.649,46.678,49.441,50.477,49.679,48.409,48.8,49.022,50.058,50.824,55.183,56.175,56.85,57.662,58.312,57.929,57.896,58.591,60.166,63.127,66.348,67.049,71.077,72.285,74.087,79.291,85.846,89.132,92.45,96.767,102.445,111.211,118.901,123.806,125.193,126.679,127.772,127.704,129.84,134.472,138.143,141.873,145.192,147.54,147.158,149.021,149.737,149.259,147.356,144.632,140.127,137.789,136.333,132.75,129.554,128.134,126.007,125.141,123.058,123.21,122.308,118.725,115.947,114.085,111.638,108.751,106.075,103.377,100,97.119,95.263,94.117,98.011,101.949,102.045,100.482
      Sports and recreational vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.097,25.671,25.578,25.834,26.172,26.351,26.443,26.853,27.526,28.492,29.654,28.616,32.157,33.313,34.81,38.745,42.73,44.856,47.668,50.597,54.03,59.127,62.846,65.343,66.17,68.458,70.405,70.382,70.73,72.987,75.186,77.03,78.592,80.245,81.092,82.987,85.309,86.027,85.434,85.604,87.585,89.224,90.494,90.061,89.326,89.688,91.159,93.473,92.871,93.811,94.688,95.055,97.176,98.707,99.134,98.903,99.028,100.472,100,101.626,104.505,106.684,112.48,115.901,116.845,114.622
      Other sporting and recreational goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.256,76.516,77.676,78.846,79.702,78.938,78.807,79.675,81.853,86.246,90.973,93.789,96.671,97.315,98.568,103.083,110.448,113.957,116.505,120.939,127.41,137.757,147.649,153.832,155.466,155.821,155.79,155.723,159.155,165.057,169.399,174.059,178.237,180.905,179.81,181.539,181.194,179.99,177.347,172.883,164.499,159.873,156.882,151.639,147.099,144.645,140.378,137.639,134.772,134.453,132.721,127.602,123.044,119.959,116.442,112.542,108.801,104.526,100,95.336,91.761,89.515,92.747,96.781,96.652,95.288
      Maintenance and repair of recreational vehicles and sports equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.286,30.234,29.99,30.344,30.905,31.431,31.788,32.533,33.436,34.707,36.391,33.917,40.318,42.268,44.818,51.22,57.425,60.538,65.005,68.697,73.102,79.743,85.077,88.531,89.604,92.323,94.244,93.652,94.052,97.477,100.136,103.562,106.797,108.325,108.287,110.168,111.345,111.25,110.453,109.805,108.415,107.226,106.786,104.931,103.889,103.643,104.047,105.56,104.926,106.662,108.013,107.049,106.757,107.012,106.411,104.957,103.261,101.913,100,100.037,101.195,102.436,109.303,114.94,114.393,112.347
"    Membership clubs, sports centers, parks, theaters, and museums",4.937,4.874,4.665,4.445,4.162,4.179,4.234,4.329,4.484,4.566,4.53,4.585,4.746,4.982,5.382,6.127,6.46,6.799,7.216,7.377,7.505,7.566,7.8,7.98,8.316,8.712,9.062,9.311,9.661,10.027,10.28,10.826,11.263,11.64,12.011,12.513,12.918,13.424,14.022,14.878,15.742,16.836,17.697,18.271,18.985,20.404,22.016,23.332,24.671,26.335,28.031,29.93,31.626,33.401,35.081,36.703,38.397,40.242,41.951,43.497,45.858,48.276,50.717,52.076,53.489,55.299,56.594,58.595,60.449,61.953,64.813,67.85,70.443,72.37,75.046,76.833,78.847,81.697,84.263,86.451,87.398,87.718,87.695,89.842,91.222,92.828,95.091,97.613,100,102.334,104.62,106.745,107.858,111.631,117.082,122.58
      Membership clubs and participant sports centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.982,12.764,13.4,13.977,14.511,15.002,15.001,15.24,15.73,16.31,16.798,17.482,18.302,18.782,19.519,20.632,21.894,23.108,24.357,26.323,28.225,30.797,33.651,36.547,38.858,40.938,43.202,45.633,48.321,50.957,53.83,56.692,59.942,62.428,65.386,68.683,68.589,70.767,73.71,75.687,78.16,80.48,82.517,83.464,85.821,86.226,86.795,90.059,91.425,92.991,92.859,91.239,90.204,92.746,94.216,95.578,96.171,97.712,100,102.854,105.578,107.0,108.018,111.992,116.527,120.458
"      Amusements parks, campgrounds, and related recreational services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.466,12.82,13.091,13.277,13.545,13.772,14.096,14.586,15.081,15.85,16.893,18.302,19.281,20.05,20.853,22.787,24.828,26.807,28.784,30.691,32.277,34.532,36.298,37.841,39.1,40.286,41.794,43.923,45.054,45.72,47.508,49.681,51.742,53.25,54.657,55.888,57.607,59.115,60.734,62.358,65.1,68.045,70.733,72.909,75.881,77.735,79.555,82.338,84.952,87.072,88.168,88.465,88.541,90.465,91.733,93.07,95.202,97.504,100,102.342,104.725,106.39,107.638,111.611,117.872,122.378
      Admissions to specified spectator amusements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.117,8.587,8.963,9.298,9.617,10.218,10.822,11.423,12.081,13.057,13.93,14.939,15.698,16.158,16.77,17.875,19.255,20.048,20.886,22.155,23.777,25.003,26.04,27.463,29.191,30.951,32.483,33.71,35.283,36.9,39.497,41.893,44.209,44.694,45.163,46.701,48.347,50.743,52.156,53.261,56.444,59.941,62.821,65.118,67.638,70.155,73.185,75.825,79.066,81.734,83.245,84.716,85.205,87.282,88.733,90.717,94.335,97.648,100,101.988,103.941,107.283,107.806,110.64,115.858,123.559
        Motion picture theaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.348,7.828,8.229,8.588,8.904,9.626,10.385,11.183,12.021,13.182,14.259,15.655,16.572,17.017,17.69,18.931,20.486,21.326,22.218,23.519,25.245,26.538,27.645,29.151,30.987,32.864,34.492,35.799,37.506,39.188,41.934,44.52,46.893,47.448,47.954,49.612,51.362,53.88,55.377,56.56,60.075,63.893,66.246,68.343,71.896,74.178,76.583,79.268,82.376,84.237,85.549,86.84,87.745,89.429,90.462,92.079,94.14,97.508,100,102.076,103.982,105.418,109.554,115.281,121.788,126.275
"        Live entertainment, excluding sports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.352,7.828,8.225,8.591,8.91,9.647,10.369,11.19,12.017,13.182,14.268,15.643,16.563,17.026,17.716,18.877,20.497,21.353,22.215,23.538,25.255,26.566,27.663,29.166,31.012,32.872,34.506,35.804,37.446,39.184,41.966,44.465,46.993,47.478,47.969,49.6,51.326,53.879,55.398,56.567,60.034,63.881,66.234,68.394,71.886,74.191,76.58,79.317,82.377,84.283,85.555,86.855,87.711,89.44,90.4,92.07,94.148,97.552,100,102.103,103.972,105.603,109.049,115.579,121.828,126.221
        Spectator sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.486,10.796,10.998,11.199,11.506,11.71,11.911,12.015,12.282,12.892,13.4,13.772,14.278,14.755,15.26,16.174,17.227,17.936,18.699,19.91,21.366,22.469,23.4,24.688,26.234,27.813,29.186,30.289,31.694,33.162,35.487,37.638,39.742,40.169,40.59,41.959,43.455,45.618,46.875,47.867,50.579,53.558,57.129,59.625,60.71,63.518,67.496,69.998,73.493,77.437,79.345,81.14,80.962,83.636,85.852,88.37,94.685,97.848,100,101.798,103.88,110.164,105.957,103.838,107.53,120.145
      Museums and libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.355,7.828,8.232,8.585,8.922,9.63,10.381,11.17,12.038,13.185,14.284,15.649,16.562,17.021,17.718,18.872,20.487,21.345,22.211,23.518,25.24,26.555,27.654,29.154,30.991,32.839,34.488,35.777,37.479,39.17,41.904,44.459,46.939,47.451,47.947,49.58,51.301,53.853,55.374,56.55,59.996,63.852,66.229,68.349,71.839,74.154,76.542,79.206,82.342,84.218,85.497,86.838,87.673,89.411,90.388,92.038,94.082,97.51,100,102.059,103.9,105.545,108.786,115.278,121.83,126.183
"    Magazines, newspapers, books, and stationery",7.535,7.385,7.064,6.889,6.571,6.611,6.592,6.655,6.849,7.019,7.078,7.157,7.174,7.553,8.135,8.512,8.675,8.94,9.729,10.636,11.151,11.416,11.93,12.526,12.937,13.02,13.381,13.729,14.58,15.306,13.666,13.866,14.053,14.256,14.781,15.32,15.754,16.296,16.896,17.799,18.598,19.734,20.962,21.492,22.21,25.136,28.478,30.221,32.147,33.755,35.948,39.424,43.11,46.624,49.405,50.853,53.016,54.689,56.135,57.954,60.174,62.565,66.088,69.106,71.137,73.209,76.496,79.747,81.253,83.199,83.422,83.654,84.666,86.156,86.197,86.568,87.482,88.178,89.222,90.94,93.673,93.912,93.618,95.241,97.604,99.249,99.689,99.572,100,101.208,104.802,109.372,112.913,120.167,122.773,124.294
    Gambling,4.269,4.247,4.02,3.83,3.901,4.03,4.106,4.029,4.27,4.559,4.404,4.278,4.747,5.127,5.316,5.732,6.007,7.436,8.724,10.154,10.385,9.965,9.762,10.663,11.223,11.429,11.5,11.789,12.314,12.759,13.111,13.304,13.447,13.606,13.777,13.959,14.177,14.605,15.008,15.649,16.497,17.465,18.207,18.804,19.988,22.176,24.203,25.618,27.272,29.137,31.866,35.33,38.614,40.874,42.555,44.294,45.79,46.632,48.179,49.96,52.087,54.709,56.714,58.201,59.708,60.991,62.48,64.168,65.535,66.508,67.984,70.252,72.228,73.388,75.077,77.065,79.664,82.236,84.594,87.812,87.519,88.968,91.761,93.661,95.04,96.574,96.689,97.912,100,102.442,104.295,105.72,110.586,119.409,124.317,127.998
"    Pets, pet products, and related services",9.563,9.112,7.807,6.763,6.757,7.425,7.886,7.919,8.207,7.792,7.739,7.755,8.279,9.539,10.697,10.915,11.248,12.445,14.379,15.265,14.871,15.069,16.49,16.88,16.804,16.87,16.722,16.981,17.445,18.103,13.78,13.975,14.132,14.352,14.514,14.951,15.45,16.106,16.806,18.051,18.965,20.015,21.056,21.595,22.247,23.555,25.064,26.117,27.215,28.181,30.239,33.397,36.553,38.578,40.015,41.458,42.85,44.033,45.168,46.677,49.204,51.006,53.03,53.097,53.714,54.812,55.581,58.004,59.479,60.271,61.376,62.906,64.934,66.972,68.359,70.912,72.737,75.561,78.658,84.946,90.33,90.839,93.395,95.52,96.793,97.412,98.306,99.637,100,101.239,104.511,105.445,107.945,117.582,127.033,130.154
    Photographic goods and services,30.773,30.609,29.657,28.223,27.51,28.079,28.693,28.932,30.151,30.744,30.333,30.931,30.908,33.728,34.363,38.055,39.708,41.446,44.868,47.511,47.795,47.63,50.78,51.585,52.41,52.326,52.589,54.273,55.211,56.353,54.367,54.952,55.672,56.553,57.432,61.453,60.555,59.55,59.439,59.978,59.755,59.418,59.536,61.021,61.583,63.758,66.601,67.945,68.385,70.796,73.913,80.386,83.94,86.879,88.785,90.683,92.928,96.954,101.043,103.79,107.976,111.791,115.265,117.992,120.323,121.305,123.963,126.141,128.53,128.307,127.295,127.328,126.836,126.676,125.086,121.036,117.352,113.072,107.225,104.565,104.529,102.89,102.37,102.293,100.741,101.759,99.827,100.01,100,98.732,96.515,98.785,100.452,104.334,112.482,113.94
    Package tours\14\,11.252,11.003,11.061,10.997,10.918,11.146,10.976,11.175,11.175,10.644,10.819,10.728,11.102,11.347,11.671,12.137,12.13,12.133,12.112,12.8,12.349,12.22,12.22,12.22,11.951,12.043,11.951,12.047,12.047,12.047,12.464,12.816,13.092,13.276,13.541,13.773,14.098,14.601,15.091,15.846,16.895,18.301,19.283,20.049,20.857,22.782,24.831,26.818,28.788,30.69,32.285,34.505,36.296,37.853,39.097,40.287,41.807,43.927,45.051,45.724,47.52,49.692,51.729,53.249,54.661,55.878,57.61,59.129,60.725,62.359,65.102,68.019,70.714,72.892,75.886,77.732,79.548,82.37,84.945,87.059,88.162,88.454,88.537,90.427,91.728,93.068,95.21,97.496,100,102.346,104.741,106.258,107.829,111.75,117.856,122.408
  Education,1.703,1.701,1.626,1.582,1.439,1.463,1.453,1.465,1.498,1.508,1.513,1.51,1.575,1.653,1.804,1.921,1.991,2.125,2.311,2.482,2.538,2.592,2.73,2.777,2.831,2.886,2.95,3.085,3.207,3.301,3.416,3.488,3.552,3.628,3.708,3.791,3.926,4.104,4.271,4.468,4.739,5.056,5.331,5.611,6.022,6.777,7.362,7.897,8.41,8.867,9.63,10.683,11.939,13.3,14.453,15.695,16.891,18.074,19.356,20.791,22.259,23.822,25.745,27.87,29.856,31.605,33.334,35.109,36.804,38.484,40.38,42.412,44.692,47.596,51.225,55.482,59.466,63.24,66.897,70.813,74.773,78.289,82.018,85.774,89.148,92.112,95.108,97.653,100,102.357,104.919,106.687,108.042,110.36,112.948,115.466
    Educational books,2.496,2.41,2.296,2.205,2.091,2.071,2.071,2.091,2.124,2.157,2.177,2.17,2.197,2.205,2.37,2.437,2.53,2.622,2.834,3.1,3.305,3.352,3.432,3.651,3.811,3.851,3.924,3.976,4.262,4.534,4.608,4.63,4.627,4.532,4.527,4.529,4.751,4.985,5.148,5.413,5.715,5.931,6.328,6.745,6.965,7.207,7.68,8.198,8.718,9.409,10.009,10.848,12.172,13.748,15.146,16.375,17.756,19.21,20.647,22.093,23.519,25.435,26.754,28.226,29.212,30.268,31.428,33.213,34.83,36.467,37.951,40.593,42.92,46.038,48.646,50.904,53.017,56.363,60.959,65.257,69.909,73.334,76.769,81.538,86.218,89.238,94.011,98.382,100,100.95,99.399,98.244,99.66,103.352,101.711,102.294
    Higher education,1.483,1.483,1.425,1.353,1.253,1.281,1.267,1.282,1.31,1.325,1.325,1.31,1.353,1.426,1.541,1.642,1.728,1.843,1.958,2.059,2.087,2.131,2.232,2.246,2.26,2.318,2.376,2.463,2.52,2.549,2.677,2.747,2.815,2.922,3.029,3.143,3.279,3.445,3.62,3.84,4.098,4.385,4.659,4.917,5.187,5.634,6.052,6.469,6.896,7.275,7.857,8.605,9.671,10.974,12.116,13.356,14.572,15.749,16.937,18.225,19.667,21.256,23.413,25.931,28.364,30.351,32.174,34.003,35.731,37.241,38.714,40.316,42.368,45.259,49.052,53.698,57.721,61.588,65.439,69.52,73.706,77.542,81.419,85.377,88.984,92.266,95.465,98.04,100,102.209,105.141,106.582,107.512,109.827,111.942,113.864
